color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,people,category
Color,Christopher Nolan,645.0,152.0,22000.0,11000.0,Heath Ledger,23000.0,533316061.0,Action|Crime|Drama|Thriller,Christian Bale,The Dark Knight ,1676169,57802,Morgan Freeman,0.0,based on comic book|dc comics|psychopath|star died before release|urban setting,http://www.imdb.com/title/tt0468569/?ref_=fn_tt_tt_1,4667.0,English,USA,PG-13,185000000.0,2008.0,13000.0,9.0,2.35,37000,Christian_Bale|Heath_Ledger|Morgan_Freeman|Christopher_Nolan,22
Color,Jane Campion,83.0,121.0,319.0,11.0,Ian Mune,1000.0,40158000.0,Drama|Music|Romance,Holly Hunter,The Piano ,63931,1051,Genevi??ve Lemon,1.0,adultery|daughter|male rear nudity|new zealand|piano,http://www.imdb.com/title/tt0107822/?ref_=fn_tt_tt_1,241.0,English,New Zealand,R,7000000.0,1993.0,18.0,7.6,1.85,0,Holly_Hunter|Ian_Mune|Genevi??ve_Lemon|Jane_Campion,31
Black and White,Roman Polanski,193.0,150.0,2000.0,95.0,Frank Finlay,396.0,32519322.0,Biography|Drama|War,Emilia Fox,The Pianist ,497946,1075,Ed Stoppard,0.0,ghetto|holocaust|jewish|piano|warsaw ghetto,http://www.imdb.com/title/tt0253474/?ref_=fn_tt_tt_1,761.0,English,France,R,35000000.0,2002.0,338.0,8.5,1.85,21000,Emilia_Fox|Frank_Finlay|Ed_Stoppard|Roman_Polanski,12
Color,Harold Ramis,55.0,98.0,11000.0,624.0,Randy Quaid,816.0,61400000.0,Adventure|Comedy,Beverly D'Angelo,National Lampoon's Vacation ,71183,3617,Jane Krakowski,1.0,amusement park|dog|family vacation|national lampoon series|vacation,http://www.imdb.com/title/tt0085995/?ref_=fn_tt_tt_1,183.0,English,USA,R,15000000.0,1983.0,695.0,7.4,1.85,0,Beverly_D'Angelo|Randy_Quaid|Jane_Krakowski|Harold_Ramis,38
Color,Sergio Leone,181.0,142.0,0.0,24.0,Luigi Pistilli,16000.0,6100000.0,Western,Clint Eastwood,"The Good, the Bad and the Ugly ",503509,16089,Enzo Petito,3.0,civil war|hitman|outlaw|shootout|spaghetti western,http://www.imdb.com/title/tt0060196/?ref_=fn_tt_tt_1,780.0,Italian,Italy,Approved,1200000.0,1966.0,34.0,8.9,2.35,20000,Clint_Eastwood|Luigi_Pistilli|Enzo_Petito|Sergio_Leone,25
Color,Alex Kendrick,50.0,122.0,589.0,150.0,Ken Bevel,848.0,33451479.0,Drama|Romance,Kirk Cameron,Fireproof ,17068,1164,Erin Bethea,0.0,christian film|dare|firefighter|internet pornography|marriage,http://www.imdb.com/title/tt1129423/?ref_=fn_tt_tt_1,215.0,English,USA,PG,500000.0,2008.0,153.0,6.5,1.85,0,Kirk_Cameron|Ken_Bevel|Erin_Bethea|Alex_Kendrick,1
Color,Frank Nissen,45.0,68.0,0.0,253.0,Brenda Blethyn,304.0,18081626.0,Animation|Family|Fantasy|Mystery,Kath Soucie,Pooh's Heffalump Movie ,4180,861,John Fiedler,0.0,creature|forest|mother son relationship|rabbit|winnie the pooh,http://www.imdb.com/title/tt0407121/?ref_=fn_tt_tt_1,32.0,English,USA,G,20000000.0,2005.0,286.0,6.4,1.85,264,Kath_Soucie|Brenda_Blethyn|John_Fiedler|Frank_Nissen,0
Color,Gus Van Sant,161.0,126.0,835.0,893.0,Matt Damon,49000.0,138339411.0,Drama,Robin Williams,Good Will Hunting ,604904,63710,Minnie Driver,2.0,friend|genius|janitor|loss of wife|professor,http://www.imdb.com/title/tt0119217/?ref_=fn_tt_tt_1,682.0,English,USA,R,10000000.0,1997.0,13000.0,8.3,1.85,31000,Robin_Williams|Matt_Damon|Minnie_Driver|Gus_Van_Sant,9
Color,Todd Field,179.0,138.0,143.0,783.0,Sissy Spacek,1000.0,35918429.0,Crime|Drama,Tom Wilkinson,In the Bedroom ,32415,3970,Karen Allen,1.0,doctor|maine|only son|school choir|summer,http://www.imdb.com/title/tt0247425/?ref_=fn_tt_tt_1,510.0,English,USA,R,1700000.0,2001.0,874.0,7.5,2.35,951,Tom_Wilkinson|Sissy_Spacek|Karen_Allen|Todd_Field,47
Color,Sam Raimi,392.0,156.0,0.0,4000.0,James Franco,24000.0,336530303.0,Action|Adventure|Romance,J.K. Simmons,Spider-Man 3 ,383056,46055,Kirsten Dunst,0.0,sandman|spider man|symbiote|venom|villain,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902.0,English,USA,PG-13,258000000.0,2007.0,11000.0,6.2,2.35,0,J.K._Simmons|James_Franco|Kirsten_Dunst|Sam_Raimi,3
Color,Phil Lord,330.0,112.0,97.0,584.0,Craig Roberts,17000.0,191616238.0,Action|Comedy|Crime,Channing Tatum,22 Jump Street ,258186,19428,Amber Stevens West,2.0,college|drugs|hidden camera|tattoo|undercover,http://www.imdb.com/title/tt2294449/?ref_=fn_tt_tt_1,322.0,English,USA,R,50000000.0,2014.0,920.0,7.1,2.35,24000,Channing_Tatum|Craig_Roberts|Amber_Stevens_West|Phil_Lord,20
Color,Rob Cohen,149.0,91.0,357.0,326.0,Hill Harper,3000.0,35385560.0,Mystery|Thriller,Ryan Guzman,The Boy Next Door ,27198,4807,Adam Hicks,1.0,adultery|argument|older woman younger man relationship|oral sex|sex scene,http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1,131.0,English,USA,R,4000000.0,2015.0,465.0,4.6,2.35,8000,Ryan_Guzman|Hill_Harper|Adam_Hicks|Rob_Cohen,30
Color,Dean DeBlois,180.0,85.0,255.0,443.0,Jason Scott Lee,1000.0,145771527.0,Adventure|Animation|Comedy|Drama|Family|Fantasy|Sci-Fi,Tia Carrere,Lilo & Stitch ,117212,3112,David Ogden Stiers,0.0,alien|escape|fugitive|hawaii|social worker,http://www.imdb.com/title/tt0275847/?ref_=fn_tt_tt_1,367.0,English,USA,PG,80000000.0,2002.0,533.0,7.2,1.66,0,Tia_Carrere|Jason_Scott_Lee|David_Ogden_Stiers|Dean_DeBlois,8
Color,John Stockwell,69.0,104.0,134.0,64.0,Mika Boorem,585.0,40118420.0,Drama|Romance|Sport,Faizon Love,Blue Crush ,26066,1165,Sanoe Lake,3.0,bikini|female surfer|sister sister relationship|surfing contest|swimsuit,http://www.imdb.com/title/tt0300532/?ref_=fn_tt_tt_1,216.0,English,USA,PG-13,30000000.0,2002.0,495.0,5.6,1.85,0,Faizon_Love|Mika_Boorem|Sanoe_Lake|John_Stockwell,1
Color,Raja Gosnell,100.0,99.0,67.0,330.0,Cedric the Entertainer,826.0,117559438.0,Action|Comedy|Crime,Nia Long,Big Momma's House ,66941,1790,Tichina Arnold,1.0,disguise|fbi|female impersonation|gender disguise|obesity,http://www.imdb.com/title/tt0208003/?ref_=fn_tt_tt_1,148.0,English,USA,PG-13,30000000.0,2000.0,436.0,5.1,1.85,1000,Nia_Long|Cedric_the_Entertainer|Tichina_Arnold|Raja_Gosnell,20
Color,Sara Sugarman,74.0,89.0,10.0,231.0,Carol Kane,811.0,29302097.0,Comedy|Family|Music|Romance,Adam Garcia,Confessions of a Teenage Drama Queen ,23408,2167,Glenne Headly,8.0,band|friend|new york city|suburb|teenager,http://www.imdb.com/title/tt0361467/?ref_=fn_tt_tt_1,105.0,English,Germany,PG,15000000.0,2004.0,636.0,4.6,1.85,810,Adam_Garcia|Carol_Kane|Glenne_Headly|Sara_Sugarman,10
Color,Steven Spielberg,77.0,155.0,14000.0,11000.0,Morgan Freeman,12000.0,44175394.0,Drama|History,Anthony Hopkins,Amistad ,56509,37570,Matthew McConaughey,2.0,courtroom|mutiny|ship|slave ship|slave trade,http://www.imdb.com/title/tt0118607/?ref_=fn_tt_tt_1,227.0,English,USA,R,36000000.0,1997.0,11000.0,7.2,1.85,0,Anthony_Hopkins|Morgan_Freeman|Matthew_McConaughey|Steven_Spielberg,4
Color,Eric Brevig,201.0,93.0,40.0,311.0,Brendan Fraser,14000.0,101702060.0,Action|Adventure|Family|Fantasy|Sci-Fi,Josh Hutcherson,Journey to the Center of the Earth ,85323,17925,Anita Briem,0.0,cave|lost world|missing brother|mountain|venus flytrap,http://www.imdb.com/title/tt0373051/?ref_=fn_tt_tt_1,212.0,English,USA,PG,45000000.0,2008.0,3000.0,5.8,1.85,0,Josh_Hutcherson|Brendan_Fraser|Anita_Briem|Eric_Brevig,40
Color,Dennie Gordon,78.0,91.0,29.0,459.0,Erik Per Sullivan,861.0,27087695.0,Adventure|Comedy|Drama,Brittany Daniel,Joe Dirt ,41664,2543,Fred Ward,0.0,first part|grand canyon|highway travel|indian|janitor,http://www.imdb.com/title/tt0245686/?ref_=fn_tt_tt_1,205.0,English,USA,PG-13,17700000.0,2001.0,593.0,5.9,1.85,0,Brittany_Daniel|Erik_Per_Sullivan|Fred_Ward|Dennie_Gordon,1
Color,Adam McKay,265.0,116.0,285.0,107.0,Will Ferrell,12000.0,119219978.0,Action|Comedy|Crime,Dwayne Johnson,The Other Guys ,189806,20233,Derek Jeter,2.0,capitalist|detective|investigation|new york city|police,http://www.imdb.com/title/tt1386588/?ref_=fn_tt_tt_1,316.0,English,USA,PG-13,100000000.0,2010.0,8000.0,6.7,2.35,16000,Dwayne_Johnson|Will_Ferrell|Derek_Jeter|Adam_McKay,11
Color,Norman Ferguson,105.0,88.0,3.0,40.0,Dickie Jones,1000.0,84300000.0,Animation|Family|Fantasy|Musical,Mel Blanc,Pinocchio ,90360,1178,Cliff Edwards,0.0,boy|conscience|fairy|jiminy cricket|pinocchio,http://www.imdb.com/title/tt0032910/?ref_=fn_tt_tt_1,147.0,English,USA,Approved,2600000.0,1940.0,48.0,7.5,1.37,0,Mel_Blanc|Dickie_Jones|Cliff_Edwards|Norman_Ferguson,0
Color,Rob Bowman,196.0,100.0,38.0,1000.0,Cary-Hiroyuki Tagawa,3000.0,24407944.0,Action|Crime|Fantasy|Thriller,Jennifer Garner,Elektra ,71202,7048,Goran Visnjic,0.0,assassin|battle|heroine|martial arts|spin off,http://www.imdb.com/title/tt0357277/?ref_=fn_tt_tt_1,380.0,English,Canada,PG-13,43000000.0,2005.0,1000.0,4.8,2.35,0,Jennifer_Garner|Cary-Hiroyuki_Tagawa|Goran_Visnjic|Rob_Bowman,22
Color,Cal Brunker,83.0,89.0,7.0,91.0,Paul Scheer,3000.0,57011847.0,Adventure|Animation|Comedy|Family|Sci-Fi,Brendan Fraser,Escape from Planet Earth ,20615,3361,Jonathan Morgan Heit,2.0,alien|cult film|mission control|product placement|rescue,http://www.imdb.com/title/tt0765446/?ref_=fn_tt_tt_1,44.0,English,USA,PG,40000000.0,2013.0,190.0,5.9,2.35,0,Brendan_Fraser|Paul_Scheer|Jonathan_Morgan_Heit|Cal_Brunker,40
Color,George Lucas,284.0,142.0,0.0,4000.0,Christopher Lee,20000.0,310675583.0,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode II - Attack of the Clones ,464310,42990,Hayden Christensen,3.0,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,http://www.imdb.com/title/tt0121765/?ref_=fn_tt_tt_1,3516.0,English,USA,PG,115000000.0,2002.0,16000.0,6.7,1.78,0,Natalie_Portman|Christopher_Lee|Hayden_Christensen|George_Lucas,19
Black and White,Jon Turteltaub,39.0,98.0,226.0,496.0,Leon,953.0,68856263.0,Adventure|Comedy|Family|Sport,Doug E. Doug,Cool Runnings ,69733,2496,Malik Yoba,1.0,bobsled|coach|jamaica|olympic games|olympics,http://www.imdb.com/title/tt0106611/?ref_=fn_tt_tt_1,97.0,English,USA,PG,15000000.0,1993.0,730.0,6.9,1.85,0,Doug_E._Doug|Leon|Malik_Yoba|Jon_Turteltaub,28
Color,Joel Schumacher,128.0,116.0,541.0,384.0,Brooke Smith,12000.0,30157016.0,Action|Adventure|Comedy|Thriller,Anthony Hopkins,Bad Company ,39659,12993,Garcelle Beauvais,2.0,cia|cia agent|terrorist|twin|twin brother,http://www.imdb.com/title/tt0280486/?ref_=fn_tt_tt_1,189.0,English,USA,PG-13,70000000.0,2002.0,405.0,5.6,2.35,792,Anthony_Hopkins|Brooke_Smith|Garcelle_Beauvais|Joel_Schumacher,3
Color,William Friedkin,135.0,94.0,607.0,215.0,Jenna Boyd,933.0,34238611.0,Action|Crime|Drama|Thriller,Connie Nielsen,The Hunted ,35830,2248,Rex Linn,1.0,capture|combat|fbi|hunter|special forces,http://www.imdb.com/title/tt0269347/?ref_=fn_tt_tt_1,321.0,English,USA,R,55000000.0,2003.0,518.0,6.0,1.85,0,Connie_Nielsen|Jenna_Boyd|Rex_Linn|William_Friedkin,22
Color,Gina Prince-Bythewood,68.0,124.0,107.0,865.0,Sanaa Lathan,1000.0,27441122.0,Drama|Romance|Sport,Alfre Woodard,Love & Basketball ,14322,5135,Omar Epps,0.0,basketball movie|female basketball player|high school|nba|title directed by female,http://www.imdb.com/title/tt0199725/?ref_=fn_tt_tt_1,116.0,English,USA,PG-13,15000000.0,2000.0,886.0,7.2,1.85,0,Alfre_Woodard|Sanaa_Lathan|Omar_Epps|Gina_Prince-Bythewood,1
Color,Mike Cahill,242.0,92.0,135.0,259.0,William Mapother,574.0,1316074.0,Drama|Romance|Sci-Fi,Robin Lord Taylor,Another Earth ,71387,1303,Flint Beverage,1.0,duplicate earth|janitor|planet|solar system|synchronicity,http://www.imdb.com/title/tt1549572/?ref_=fn_tt_tt_1,228.0,English,USA,PG-13,100000.0,2011.0,399.0,7.0,1.85,21000,Robin_Lord_Taylor|William_Mapother|Flint_Beverage|Mike_Cahill,1
Color,Nicholas Fackler,27.0,90.0,6.0,940.0,Ellen Burstyn,3000.0,124720.0,Drama|Romance,Adam Scott,"Lovely, Still ",1560,4987,Martin Landau,0.0,christmas|fable|old man,http://www.imdb.com/title/tt1150947/?ref_=fn_tt_tt_1,15.0,English,USA,PG,5000000.0,2008.0,1000.0,7.3,1.85,777,Adam_Scott|Ellen_Burstyn|Martin_Landau|Nicholas_Fackler,21
Color,Stephen Frears,46.0,108.0,350.0,77.0,Bronagh Gallagher,8000.0,5600000.0,Drama|Horror|Romance|Thriller,Julia Roberts,Mary Reilly ,11913,8349,George Cole,1.0,19th century|butler|housemaid|laboratory|servant,http://www.imdb.com/title/tt0117002/?ref_=fn_tt_tt_1,97.0,English,USA,R,47000000.0,1996.0,115.0,5.8,1.85,616,Julia_Roberts|Bronagh_Gallagher|George_Cole|Stephen_Frears,49
Black and White,Mel Brooks,129.0,106.0,0.0,481.0,Peter Boyle,1000.0,86300000.0,Comedy,Madeline Kahn,Young Frankenstein ,112671,2703,Teri Garr,0.0,assistant|castle|experiment|frankenstein's monster|scientist,http://www.imdb.com/title/tt0072431/?ref_=fn_tt_tt_1,315.0,English,USA,PG,2800000.0,1974.0,595.0,8.0,1.85,14000,Madeline_Kahn|Peter_Boyle|Teri_Garr|Mel_Brooks,38
Color,John Madden,264.0,124.0,108.0,186.0,Penelope Wilton,1000.0,46377022.0,Comedy|Drama,Tom Wilkinson,The Best Exotic Marigold Hotel ,75306,1898,Celia Imrie,3.0,hotel|india|marigold|retiree|retirement,http://www.imdb.com/title/tt1412386/?ref_=fn_tt_tt_1,266.0,English,UK,PG-13,10000000.0,2011.0,400.0,7.3,2.35,48000,Tom_Wilkinson|Penelope_Wilton|Celia_Imrie|John_Madden,47
Color,Wes Craven,212.0,116.0,0.0,71.0,Roger Jackson,287.0,89138076.0,Horror|Mystery,Kelly Rutherford,Scream 3 ,98535,600,Nancy O'Dell,4.0,death|ghostface|murder|scream|survivor,http://www.imdb.com/title/tt0134084/?ref_=fn_tt_tt_1,734.0,English,USA,R,40000000.0,2000.0,157.0,5.5,2.35,0,Kelly_Rutherford|Roger_Jackson|Nancy_O'Dell|Wes_Craven,49
Black and White,Fritz Lang,260.0,145.0,756.0,18.0,Gustav Fr??hlich,136.0,26435.0,Drama|Sci-Fi,Brigitte Helm,Metropolis ,111841,203,Rudolf Klein-Rogge,1.0,art deco|bible quote|dance|silent film|worker,http://www.imdb.com/title/tt0017136/?ref_=fn_tt_tt_1,413.0,German,Germany,Not Rated,6000000.0,1927.0,23.0,8.3,1.33,12000,Brigitte_Helm|Gustav_Fr??hlich|Rudolf_Klein-Rogge|Fritz_Lang,1
Color,Donald Petrie,34.0,104.0,80.0,658.0,Lili Taylor,8000.0,12793213.0,Comedy|Drama|Romance,Julia Roberts,Mystic Pizza ,18286,10430,Conchata Ferrell,4.0,commitment|marriage|pizza|title appears in writing|woman wearing only a man's shirt,http://www.imdb.com/title/tt0095690/?ref_=fn_tt_tt_1,73.0,English,USA,R,6000000.0,1988.0,960.0,6.2,1.85,0,Julia_Roberts|Lili_Taylor|Conchata_Ferrell|Donald_Petrie,24
