color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,category
David Zucker,43.0,85.0,119.0,144.0,Priscilla Presley,3000.0,86930411.0,Comedy|Crime,George Kennedy,The Naked Gun 2??: The Smell of Fear ,83269,3847,O.J. Simpson,6.0,american president|evil industrialist|ex girlfriend|political leader|president,http://www.imdb.com/title/tt0102510/?ref_=fn_tt_tt_1,87.0,English,USA,PG-13,23000000.0,1991.0,348.0,6.8,1.85,0,George_Kennedy|Priscilla_Presley|O.J._Simpson|David_Zucker,14
Hayao Miyazaki,246.0,125.0,6000.0,7.0,Ry??nosuke Kamiki,17.0,10049886.0,Adventure|Animation|Family|Fantasy,Bunta Sugawara,Spirited Away ,417971,44,Miyu Irino,0.0,anime|bathhouse|pig|spirit|work,http://www.imdb.com/title/tt0245429/?ref_=fn_tt_tt_1,902.0,Japanese,Japan,PG,19000000.0,2001.0,10.0,8.6,1.85,28000,Bunta_Sugawara|Ry??nosuke_Kamiki|Miyu_Irino|Hayao_Miyazaki,4
Mick Jackson,84.0,104.0,81.0,612.0,Anne Heche,3000.0,47474112.0,Action|Drama|Sci-Fi|Thriller,Don Cheadle,Volcano ,58227,5062,Gaby Hoffmann,0.0,earthquake|fire|lava|rescue|volcano,http://www.imdb.com/title/tt0120461/?ref_=fn_tt_tt_1,181.0,English,USA,PG-13,90000000.0,1997.0,643.0,5.4,1.85,2000,Don_Cheadle|Anne_Heche|Gaby_Hoffmann|Mick_Jackson,40
Neill Blomkamp,476.0,109.0,662.0,1000.0,Sharlto Copley,13000.0,93050117.0,Action|Drama|Sci-Fi|Thriller,Matt Damon,Elysium ,338087,17689,Alice Braga,0.0,christ figure|class differences|messiah|saviour|social commentary,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1,814.0,English,USA,R,115000000.0,2013.0,2000.0,6.6,2.35,61000,Matt_Damon|Sharlto_Copley|Alice_Braga|Neill_Blomkamp,10
Kenneth Branagh,46.0,137.0,0.0,130.0,Derek Jacobi,591.0,10161099.0,Action|Biography|Drama|History|Romance|War,Brian Blessed,Henry V ,23441,1341,Danny Webb,1.0,battle|battle of agincourt|king|shakespeare play|sword and shield,http://www.imdb.com/title/tt0097499/?ref_=fn_tt_tt_1,108.0,English,UK,PG-13,9000000.0,1989.0,520.0,7.7,1.85,0,Brian_Blessed|Derek_Jacobi|Danny_Webb|Kenneth_Branagh,7
Steven Spielberg,308.0,127.0,14000.0,191.0,Ariana Richards,967.0,356784000.0,Adventure|Sci-Fi|Thriller,Wayne Knight,Jurassic Park ,613473,2129,Bob Peck,0.0,dinosaur|jurassic park|survival|theme park|tyrannosaurus rex,http://www.imdb.com/title/tt0107290/?ref_=fn_tt_tt_1,895.0,English,USA,PG-13,63000000.0,1993.0,610.0,8.1,1.85,19000,Wayne_Knight|Ariana_Richards|Bob_Peck|Steven_Spielberg,11
Harold Ramis,147.0,101.0,11000.0,512.0,Chris Elliott,13000.0,70906973.0,Comedy|Fantasy|Romance,Bill Murray,Groundhog Day ,437418,15500,Willie Garson,1.0,cult film|existentialism|groundhog day|time loop|trapped in a time loop,http://www.imdb.com/title/tt0107048/?ref_=fn_tt_tt_1,609.0,English,USA,PG,14600000.0,1993.0,571.0,8.1,1.85,38000,Bill_Murray|Chris_Elliott|Willie_Garson|Harold_Ramis,5
John Woo,155.0,138.0,610.0,805.0,CCH Pounder,12000.0,112225777.0,Action|Crime|Sci-Fi|Thriller,Nicolas Cage,Face/Off ,283967,17087,Joan Allen,0.0,death of child|face|face transplant|prison|terrorist,http://www.imdb.com/title/tt0119094/?ref_=fn_tt_tt_1,535.0,English,USA,R,80000000.0,1997.0,1000.0,7.3,2.35,11000,Nicolas_Cage|CCH_Pounder|Joan_Allen|John_Woo,9
Don Michael Paul,25.0,93.0,70.0,442.0,Faizon Love,692.0,5694308.0,Comedy|Sport,Jeffrey Jones,Who's Your Caddy? ,13815,3128,Lil' Wayne,0.0,2000s|golf caddy|golf course|golfer|question mark in title,http://www.imdb.com/title/tt0785077/?ref_=fn_tt_tt_1,46.0,English,USA,PG-13,7000000.0,2007.0,585.0,2.0,1.85,446,Jeffrey_Jones|Faizon_Love|Lil'_Wayne|Don_Michael_Paul,14
Patrice Leconte,61.0,112.0,83.0,8.0,Daniel Auteuil,2000.0,3058380.0,Drama|Romance,Emir Kusturica,The Widow of Saint-Pierre ,4767,2389,Yves Jacques,1.0,archipelago|guillotine|island|prison|redemption,http://www.imdb.com/title/tt0191636/?ref_=fn_tt_tt_1,69.0,French,France,R,100000000.0,2000.0,370.0,7.3,2.35,186,Emir_Kusturica|Daniel_Auteuil|Yves_Jacques|Patrice_Leconte,3
Shekhar Kapur,141.0,124.0,159.0,240.0,John Gielgud,288.0,30012990.0,Biography|Drama|History,Fanny Ardant,Elizabeth ,75973,1006,Eric Cantona,1.0,16th century|british royal family|catholic|queen|queen elizabeth i,http://www.imdb.com/title/tt0127536/?ref_=fn_tt_tt_1,409.0,English,UK,R,25000000.0,1998.0,249.0,7.5,1.85,0,Fanny_Ardant|John_Gielgud|Eric_Cantona|Shekhar_Kapur,29
Bruce McCulloch,52.0,85.0,54.0,455.0,Megan Mullally,985.0,13973532.0,Comedy|Crime,Martin Starr,Stealing Harvard ,11211,3065,Chris Penn,1.0,black humor|crying during sex|harvard|humor|man with glasses,http://www.imdb.com/title/tt0265808/?ref_=fn_tt_tt_1,92.0,English,USA,PG-13,25000000.0,2002.0,637.0,5.1,1.85,215,Martin_Starr|Megan_Mullally|Chris_Penn|Bruce_McCulloch,14
Jon Favreau,453.0,124.0,4000.0,4000.0,Scarlett Johansson,21000.0,312057433.0,Action|Adventure|Sci-Fi,Robert Downey Jr.,Iron Man 2 ,522371,48638,Jon Favreau,4.0,hammer|military|monaco|revenge|tony stark,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,723.0,English,USA,PG-13,200000000.0,2010.0,19000.0,7.0,2.35,18000,Robert_Downey_Jr.|Scarlett_Johansson|Jon_Favreau|Jon_Favreau,45
Tim Burton,111.0,105.0,13000.0,658.0,Dianne Wiest,40000.0,56362352.0,Fantasy|Romance,Johnny Depp,Edward Scissorhands ,357581,42330,Conchata Ferrell,0.0,creation|inventor|magical realism|scissors|suburb,http://www.imdb.com/title/tt0099487/?ref_=fn_tt_tt_1,588.0,English,USA,PG-13,20000000.0,1990.0,967.0,7.9,1.85,16000,Johnny_Depp|Dianne_Wiest|Conchata_Ferrell|Tim_Burton,39
Ridley Scott,239.0,194.0,0.0,195.0,Orlando Bloom,14000.0,47396698.0,Action|Adventure|Drama|History|War,Liam Neeson,Kingdom of Heaven ,217373,19600,Philip Glenister,1.0,12th century|crusader|jerusalem|knight|medieval times,http://www.imdb.com/title/tt0320661/?ref_=fn_tt_tt_1,942.0,English,USA,R,130000000.0,2005.0,5000.0,7.2,2.35,0,Liam_Neeson|Orlando_Bloom|Philip_Glenister|Ridley_Scott,47
Chatrichalerm Yukol,31.0,300.0,6.0,6.0,Chatchai Plengpanich,7.0,454255.0,Action|Adventure|Drama|History|War,Sarunyu Wongkrachang,The Legend of Suriyothai ,1666,32,Mai Charoenpura,3.0,16th century|burmese|invasion|queen|thailand,http://www.imdb.com/title/tt0290879/?ref_=fn_tt_tt_1,47.0,Thai,Thailand,R,400000000.0,2001.0,6.0,6.6,1.85,124,Sarunyu_Wongkrachang|Chatchai_Plengpanich|Mai_Charoenpura|Chatrichalerm_Yukol,7
Steve Carver,29.0,107.0,8.0,268.0,William Sanderson,926.0,12200000.0,Action|Crime|Drama|Thriller|Western,David Carradine,Lone Wolf McQuade ,7973,2383,Robert Beltran,0.0,drugs|martial arts|texas|texas ranger|weapon,http://www.imdb.com/title/tt0085862/?ref_=fn_tt_tt_1,65.0,English,USA,PG,5000000.0,1983.0,400.0,6.3,1.85,0,David_Carradine|William_Sanderson|Robert_Beltran|Steve_Carver,9
Oliver Hirschbiegel,192.0,178.0,101.0,471.0,Bruno Ganz,918.0,5501940.0,Biography|Drama|History|War,Thomas Kretschmann,Downfall ,248354,2334,Alexandra Maria Lara,0.0,bunker|hitler|nazi|no exit|war ruins,http://www.imdb.com/title/tt0363163/?ref_=fn_tt_tt_1,564.0,German,Germany,R,13500000.0,2004.0,653.0,8.3,1.85,14000,Thomas_Kretschmann|Bruno_Ganz|Alexandra_Maria_Lara|Oliver_Hirschbiegel,7
Dan Harris,73.0,111.0,24.0,83.0,Ryan Donowho,374.0,228524.0,Comedy|Drama,Kip Pardue,Imaginary Heroes ,8708,768,Larry Fessenden,2.0,cat|christmas song|lawn mowing|leave of absence|medication,http://www.imdb.com/title/tt0373024/?ref_=fn_tt_tt_1,56.0,English,USA,R,4000000.0,2004.0,181.0,7.3,2.35,345,Kip_Pardue|Ryan_Donowho|Larry_Fessenden|Dan_Harris,27
Sean Anders,102.0,129.0,51.0,630.0,Michael Cudlitz,948.0,8396942.0,Adventure|Comedy|Romance,Katrina Bowden,Sex Drive ,72715,4324,Alice Greczyn,1.0,amish|friend|friendship|high school|virgin,http://www.imdb.com/title/tt1135985/?ref_=fn_tt_tt_1,103.0,English,USA,R,19000000.0,2008.0,822.0,6.5,1.85,0,Katrina_Bowden|Michael_Cudlitz|Alice_Greczyn|Sean_Anders,8
Shana Feste,63.0,96.0,19.0,71.0,Zo?? Kravitz,1000.0,115862.0,Drama|Romance,Jennifer Ehle,The Greatest ,7394,2163,Cara Seymour,2.0,car crash|loss|self help group|teenage mother|title directed by female,http://www.imdb.com/title/tt1226232/?ref_=fn_tt_tt_1,50.0,English,USA,R,6000000.0,2009.0,943.0,6.7,2.35,0,Jennifer_Ehle|Zo??_Kravitz|Cara_Seymour|Shana_Feste,3
Joel Schumacher,144.0,121.0,541.0,680.0,Rene Auberjonois,920.0,184031112.0,Action|Adventure|Fantasy,Michael Gough,Batman Forever ,190786,2880,Debi Mazar,4.0,love|necktie|partner|rock music|tuxedo,http://www.imdb.com/title/tt0112462/?ref_=fn_tt_tt_1,539.0,English,USA,PG-13,100000000.0,1995.0,710.0,5.4,1.85,0,Michael_Gough|Rene_Auberjonois|Debi_Mazar|Joel_Schumacher,16
Sidney J. Furie,94.0,134.0,22.0,488.0,Margot Kidder,1000.0,15681020.0,Action|Adventure|Family|Sci-Fi,Jim Broadbent,Superman IV: The Quest for Peace ,33570,3007,William Hootkins,6.0,box office flop|dc comics|hair|nuclear disarmament|superman,http://www.imdb.com/title/tt0094074/?ref_=fn_tt_tt_1,259.0,English,UK,PG,17000000.0,1987.0,593.0,3.6,2.35,1000,Jim_Broadbent|Margot_Kidder|William_Hootkins|Sidney_J._Furie,32
Vincenzo Natali,368.0,104.0,165.0,559.0,David Hewlett,900.0,16999046.0,Drama|Horror|Sci-Fi,Sarah Polley,Splice ,79517,2222,Delphine Chan??ac,0.0,dna|experiment|genetics|interspecies sex|scientist,http://www.imdb.com/title/tt1017460/?ref_=fn_tt_tt_1,354.0,English,Canada,R,26000000.0,2009.0,686.0,5.8,1.85,12000,Sarah_Polley|David_Hewlett|Delphine_Chan??ac|Vincenzo_Natali,11
Francis Ford Coppola,261.0,289.0,0.0,3000.0,Marlon Brando,11000.0,78800000.0,Drama|War,Harrison Ford,Apocalypse Now ,450676,25313,Robert Duvall,1.0,army|green beret|insanity|jungle|vietnam,http://www.imdb.com/title/tt0078788/?ref_=fn_tt_tt_1,983.0,English,USA,R,31500000.0,1979.0,10000.0,8.5,2.35,19000,Harrison_Ford|Marlon_Brando|Robert_Duvall|Francis_Ford_Coppola,7
Albert Hughes,325.0,118.0,117.0,10000.0,Mila Kunis,18000.0,94822707.0,Action|Adventure|Drama|Thriller,Denzel Washington,The Book of Eli ,227072,44797,Gary Oldman,0.0,blind|book|long take|post apocalypse|water,http://www.imdb.com/title/tt1037705/?ref_=fn_tt_tt_1,560.0,English,USA,R,80000000.0,2010.0,15000.0,6.9,2.35,20000,Denzel_Washington|Mila_Kunis|Gary_Oldman|Albert_Hughes,16
Robert Lee King,51.0,85.0,0.0,209.0,Kathleen Robertson,945.0,265107.0,Comedy|Horror|Mystery,Lauren Ambrose,Psycho Beach Party ,4617,2282,Beth Broderick,1.0,cliche|exchange student|slasher|spoof|surfing,http://www.imdb.com/title/tt0206226/?ref_=fn_tt_tt_1,93.0,English,Australia,Unrated,1500000.0,2000.0,774.0,6.3,1.85,614,Lauren_Ambrose|Kathleen_Robertson|Beth_Broderick|Robert_Lee_King,1
Chan-wook Park,305.0,120.0,0.0,38.0,Ji-tae Yu,717.0,2181290.0,Drama|Mystery|Thriller,Min-sik Choi,Oldboy ,356181,852,Hye-jeong Kang,0.0,brother sister relationship|hypnosis|imprisonment|love|revenge,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,809.0,Korean,South Korea,R,3000000.0,2003.0,78.0,8.4,2.35,43000,Min-sik_Choi|Ji-tae_Yu|Hye-jeong_Kang|Chan-wook_Park,13
Woody Allen,42.0,124.0,11000.0,563.0,Larry David,11000.0,10763469.0,Comedy|Drama|Romance,Woody Allen,New York Stories ,13692,12685,Mia Farrow,0.0,12 year old|artist|hotel|three word title|written and directed by cast member,http://www.imdb.com/title/tt0097965/?ref_=fn_tt_tt_1,55.0,English,USA,PG,15000000.0,1989.0,860.0,6.4,1.85,877,Woody_Allen|Larry_David|Mia_Farrow|Woody_Allen,36
Burr Steers,191.0,102.0,23.0,651.0,Hunter Parrish,2000.0,64149837.0,Comedy|Drama|Family|Fantasy|Romance,Matthew Perry,17 Again ,146899,7009,Thomas Lennon,1.0,adult as child|father son relationship|high school student|janitor|school,http://www.imdb.com/title/tt0974661/?ref_=fn_tt_tt_1,185.0,English,USA,PG-13,20000000.0,2009.0,2000.0,6.4,2.35,0,Matthew_Perry|Hunter_Parrish|Thomas_Lennon|Burr_Steers,17
Jon M. Chu,351.0,122.0,209.0,934.0,Dwayne Johnson,17000.0,122512052.0,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,G.I. Joe: Retaliation ,146352,31958,Elodie Yung,6.0,general|gi joe|martial arts|ninja|president,http://www.imdb.com/title/tt1583421/?ref_=fn_tt_tt_1,288.0,English,USA,PG-13,130000000.0,2013.0,12000.0,5.8,2.35,42000,Channing_Tatum|Dwayne_Johnson|Elodie_Yung|Jon_M._Chu,16
Robert Schwentke,181.0,120.0,124.0,943.0,Theo James,6000.0,66002193.0,Action|Adventure|Mystery|Sci-Fi|Thriller,Naomi Watts,Allegiant ,44296,12452,Zo?? Kravitz,3.0,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,http://www.imdb.com/title/tt3410834/?ref_=fn_tt_tt_1,144.0,English,USA,PG-13,110000000.0,2016.0,5000.0,5.8,2.35,12000,Naomi_Watts|Theo_James|Zo??_Kravitz|Robert_Schwentke,16
Paul Weitz,150.0,107.0,80.0,252.0,Sarita Choudhury,2000.0,18004225.0,Comedy|Drama|Romance,Tina Fey,Admission ,28573,3004,Christopher Evan Welch,2.0,adoption|female protagonist|princeton university|wedding|working women,http://www.imdb.com/title/tt1814621/?ref_=fn_tt_tt_1,87.0,English,USA,PG-13,13000000.0,2013.0,257.0,5.7,2.35,5000,Tina_Fey|Sarita_Choudhury|Christopher_Evan_Welch|Paul_Weitz,17
David Zucker,151.0,89.0,119.0,807.0,Carmen Electra,2000.0,90703745.0,Comedy,Beau Mirchoff,Scary Movie 4 ,93748,5855,Regina Hall,8.0,female nudity|male nudity|parody|reference to myspace|sequel,http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1,410.0,English,USA,PG-13,45000000.0,2006.0,869.0,5.1,1.85,1000,Beau_Mirchoff|Carmen_Electra|Regina_Hall|David_Zucker,14
R.J. Cutler,141.0,107.0,15.0,602.0,Mireille Enos,17000.0,50461335.0,Drama|Fantasy|Music|Romance,Chlo?? Grace Moretz,If I Stay ,83893,20466,Stacy Keach,3.0,car accident|coma|out of body experience|reference to the exploited|teenage girl,http://www.imdb.com/title/tt1355630/?ref_=fn_tt_tt_1,132.0,English,USA,PG-13,11000000.0,2014.0,1000.0,6.8,2.35,15000,Chlo??_Grace_Moretz|Mireille_Enos|Stacy_Keach|R.J._Cutler,3
Gabriele Muccino,201.0,117.0,125.0,168.0,Kurt Fuller,10000.0,162586036.0,Biography|Drama,Will Smith,The Pursuit of Happyness ,338383,11036,James Karen,0.0,bus|intern|internship|salesman|stockbroker,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,611.0,English,USA,PG-13,55000000.0,2006.0,617.0,8.0,2.35,32000,Will_Smith|Kurt_Fuller|James_Karen|Gabriele_Muccino,29
Martin Scorsese,490.0,138.0,17000.0,163.0,Joseph Sikora,29000.0,127968405.0,Mystery|Thriller,Leonardo DiCaprio,Shutter Island ,786092,29585,Nellie Sciutto,0.0,female prisoner|plot twist|self delusion|surprise ending|year 1954,http://www.imdb.com/title/tt1130884/?ref_=fn_tt_tt_1,964.0,English,USA,R,80000000.0,2010.0,223.0,8.1,2.35,53000,Leonardo_DiCaprio|Joseph_Sikora|Nellie_Sciutto|Martin_Scorsese,13
Milos Forman,134.0,180.0,869.0,521.0,F. Murray Abraham,692.0,51600000.0,Biography|Drama|History|Music,Jeffrey Jones,Amadeus ,270790,3076,Tom Hulce,0.0,1800s|classical composer|composer|first person narration|opera,http://www.imdb.com/title/tt0086879/?ref_=fn_tt_tt_1,549.0,English,USA,R,18000000.0,1984.0,670.0,8.3,2.35,16000,Jeffrey_Jones|F._Murray_Abraham|Tom_Hulce|Milos_Forman,29
Renny Harlin,113.0,108.0,212.0,347.0,Ashley Scott,969.0,12232937.0,Action|Crime|Thriller,Taylor Cole,12 Rounds ,22823,2799,Nick Gomez,1.0,2000s|detective|sadist|terrorism|terrorist,http://www.imdb.com/title/tt1160368/?ref_=fn_tt_tt_1,113.0,English,USA,PG-13,22000000.0,2009.0,794.0,5.6,2.35,0,Taylor_Cole|Ashley_Scott|Nick_Gomez|Renny_Harlin,9
Brett Leonard,48.0,140.0,32.0,120.0,Austin O'Brien,535.0,32101000.0,Horror|Sci-Fi,Jeff Fahey,The Lawnmower Man ,27800,1109,Troy Evans,0.0,intelligence|science runs amok|scientist|supernatural power|virtual reality,http://www.imdb.com/title/tt0104692/?ref_=fn_tt_tt_1,96.0,English,UK,R,10000000.0,1992.0,211.0,5.4,1.85,0,Jeff_Fahey|Austin_O'Brien|Troy_Evans|Brett_Leonard,35
Gary Fleder,203.0,100.0,39.0,798.0,James Franco,26000.0,19783777.0,Action|Crime|Drama|Thriller,Jason Statham,Homefront ,82804,39989,Frank Grillo,1.0,biker|biker gang|dea|dea agent|fight,http://www.imdb.com/title/tt2312718/?ref_=fn_tt_tt_1,154.0,English,USA,R,22000000.0,2013.0,11000.0,6.5,2.35,15000,Jason_Statham|James_Franco|Frank_Grillo|Gary_Fleder,41
Denzel Washington,112.0,126.0,18000.0,697.0,Jurnee Smollett-Bell,18000.0,30226144.0,Biography|Drama,Denzel Washington,The Great Debaters ,47626,22745,John Heard,1.0,college|debate|student|texas|wiley college,http://www.imdb.com/title/tt0427309/?ref_=fn_tt_tt_1,118.0,English,USA,PG-13,15000000.0,2007.0,2000.0,7.6,2.35,0,Denzel_Washington|Jurnee_Smollett-Bell|John_Heard|Denzel_Washington,29
Bob Clark,32.0,88.0,84.0,177.0,Vanessa Angel,650.0,9109322.0,Comedy|Family|Sci-Fi,Scott Baio,Superbabies: Baby Geniuses 2 ,25371,1343,Peter Wingfield,3.0,computer|good versus evil|mind control|science experiment|sequel,http://www.imdb.com/title/tt0270846/?ref_=fn_tt_tt_1,129.0,English,Germany,PG,20000000.0,2004.0,384.0,1.9,2.35,0,Scott_Baio|Vanessa_Angel|Peter_Wingfield|Bob_Clark,21
John Duigan,16.0,102.0,18.0,186.0,Jill Hennessy,670.0,15593.0,Comedy|Drama|Romance,Elaine Hendrix,Molly ,2295,1562,Sarah Wynter,1.0,autism|experimental surgery|female nudity|forename as title|regression,http://www.imdb.com/title/tt0143746/?ref_=fn_tt_tt_1,40.0,English,USA,PG-13,21000000.0,1999.0,419.0,5.8,1.85,284,Elaine_Hendrix|Jill_Hennessy|Sarah_Wynter|John_Duigan,17
Xavier Beauvois,195.0,122.0,22.0,32.0,Michael Lonsdale,186.0,3950029.0,Drama,Lambert Wilson,Of Gods and Men ,12411,416,Olivier Rabourdin,0.0,catholic church|community|monastery|monk|terrorist,http://www.imdb.com/title/tt1588337/?ref_=fn_tt_tt_1,89.0,French,France,PG-13,4000000.0,2010.0,135.0,7.2,2.35,0,Lambert_Wilson|Michael_Lonsdale|Olivier_Rabourdin|Xavier_Beauvois,23
Joel Schumacher,49.0,115.0,541.0,442.0,Oliver Platt,8000.0,61490000.0,Drama|Horror|Sci-Fi|Thriller,Julia Roberts,Flatliners ,62037,10493,Hope Davis,5.0,childhood trauma|death|medical student|memory|near death experience,http://www.imdb.com/title/tt0099582/?ref_=fn_tt_tt_1,148.0,English,USA,R,26000000.0,1990.0,1000.0,6.6,2.35,0,Julia_Roberts|Oliver_Platt|Hope_Davis|Joel_Schumacher,11
Wolfgang Petersen,64.0,127.0,249.0,808.0,Morgan Freeman,18000.0,67823573.0,Action|Drama|Thriller,Kevin Spacey,Outbreak ,91176,30383,Rene Russo,3.0,disease|epidemic|monkey|quarantine|virus,http://www.imdb.com/title/tt0114069/?ref_=fn_tt_tt_1,130.0,English,USA,R,50000000.0,1995.0,11000.0,6.6,1.85,0,Kevin_Spacey|Morgan_Freeman|Rene_Russo|Wolfgang_Petersen,42
Steven Soderbergh,198.0,125.0,0.0,350.0,Julia Roberts,11000.0,125531634.0,Crime|Thriller,Brad Pitt,Ocean's Twelve ,284852,19359,Mini Anden,0.0,father daughter relationship|heist|pretending to be pregnant|sequel|thief,http://www.imdb.com/title/tt0349903/?ref_=fn_tt_tt_1,627.0,English,USA,PG-13,110000000.0,2004.0,8000.0,6.4,2.35,0,Brad_Pitt|Julia_Roberts|Mini_Anden|Steven_Soderbergh,34
Michael Cuesta,64.0,97.0,52.0,36.0,Bruce Altman,80.0,1141829.0,Crime|Drama,Adam LeFevre,L.I.E. ,8509,209,Walter Masterson,1.0,ephebophile|pederasty|pedophilia|playing hooky|shaving,http://www.imdb.com/title/tt0242587/?ref_=fn_tt_tt_1,109.0,English,USA,NC-17,700000.0,2001.0,67.0,7.2,1.85,420,Adam_LeFevre|Bruce_Altman|Walter_Masterson|Michael_Cuesta,34
