,genres,plot_keywords,movie_title,actor_1_name,actor_2_name,actor_3_name,director_name,imdb_score,people,cat
27,Action|Adventure|Sci-Fi|Thriller,box office flop|hawaii|naval|oahu hawaii|ship,Battleship ,Liam Neeson,Alexander Skarsg??rd,Tadanobu Asano,Peter Berg,5.9,Liam_Neeson|Alexander_Skarsg??rd|Tadanobu_Asano|Peter_Berg,21
28,Action|Adventure|Sci-Fi|Thriller,dinosaur|disaster film|experiment gone wrong|jurassic park|velociraptor,Jurassic World ,Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow,7.0,Bryce_Dallas_Howard|Judy_Greer|Omar_Sy|Colin_Trevorrow,21
29,Action|Adventure|Thriller,brawl|childhood home|computer cracker|intelligence agency|terrorist cell,Skyfall ,Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes,7.8,Albert_Finney|Helen_McCrory|Rory_Kinnear|Sam_Mendes,21
30,Action|Adventure|Fantasy|Romance,death|doctor|scientist|super villain|tentacle,Spider-Man 2 ,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi,7.3,J.K._Simmons|James_Franco|Kirsten_Dunst|Sam_Raimi,23
31,Action|Adventure|Sci-Fi,armor|explosion|human bomb|missile attack|terrorist,Iron Man 3 ,Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black,7.2,Robert_Downey_Jr.|Jon_Favreau|Don_Cheadle|Shane_Black,27
32,Adventure|Family|Fantasy,alice in wonderland|mistaking reality for dream|queen|shrinking|shrinking potion,Alice in Wonderland ,Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton,6.5,Johnny_Depp|Alan_Rickman|Anne_Hathaway|Tim_Burton,46
33,Action|Adventure|Fantasy|Sci-Fi|Thriller,battle|mutant|outrage|walking through a wall|x men,X-Men: The Last Stand ,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner,6.8,Hugh_Jackman|Kelsey_Grammer|Daniel_Cudmore|Brett_Ratner,21
34,Adventure|Animation|Comedy|Family|Fantasy,cheating|fraternity|monster|singing in a car|university,Monsters University ,Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon,7.3,Steve_Buscemi|Tyler_Labine|Sean_Hayes|Dan_Scanlon,20
35,Action|Adventure|Sci-Fi,autobot|decepticon|machine|sun|symbol,Transformers: Revenge of the Fallen ,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay,6.0,Glenn_Morshower|Kevin_Dunn|Ramon_Rodriguez|Michael_Bay,4
36,Action|Adventure|Sci-Fi,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,Transformers: Age of Extinction ,Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay,5.7,Bingbing_Li|Sophia_Myles|Kelsey_Grammer|Michael_Bay,4
37,Adventure|Family|Fantasy,circus|magic|magician|oz|witch,Oz the Great and Powerful ,Tim Holmes,Mila Kunis,James Franco,Sam Raimi,6.4,Tim_Holmes|Mila_Kunis|James_Franco|Sam_Raimi,7
38,Action|Adventure|Fantasy|Sci-Fi,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,The Amazing Spider-Man 2 ,Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb,6.7,Emma_Stone|Andrew_Garfield|B.J._Novak|Marc_Webb,4
39,Action|Adventure|Sci-Fi,arcade|bridge|disappearance|escape|warrior,TRON: Legacy ,Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski,6.8,Jeff_Bridges|Olivia_Wilde|James_Frain|Joseph_Kosinski,4
40,Adventure|Animation|Comedy|Family|Sport,best friend|car race|conspiracy|gadget car|spy,Cars 2 ,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter,6.3,Joe_Mantegna|Thomas_Kretschmann|Eddie_Izzard|John_Lasseter,20
41,Action|Adventure|Sci-Fi,autopsy|lantern|planet|ring|test pilot,Green Lantern ,Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell,5.6,Ryan_Reynolds|Temuera_Morrison|Taika_Waititi|Martin_Campbell,4
42,Adventure|Animation|Comedy|Family|Fantasy,college|day care|escape|teddy bear|toy,Toy Story 3 ,Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich,8.3,Tom_Hanks|John_Ratzenberger|Don_Rickles|Lee_Unkrich,20
43,Action|Adventure|Sci-Fi,death row|future|machine|rescue|skynet,Terminator Salvation ,Christian Bale,Bryce Dallas Howard,Common,McG,6.6,Christian_Bale|Bryce_Dallas_Howard|Common|McG,4
44,Action|Crime|Thriller,car falling off a cliff|hospital|revenge|star died before release|terrorist,Furious 7 ,Jason Statham,Paul Walker,Vin Diesel,James Wan,7.2,Jason_Statham|Paul_Walker|Vin_Diesel|James_Wan,8
45,Action|Adventure|Horror|Sci-Fi|Thriller,chaos|disease|infection|pandemic|zombie,World War Z ,Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster,7.0,Peter_Capaldi|Brad_Pitt|Mireille_Enos|Marc_Forster,28
46,Action|Adventure|Fantasy|Sci-Fi|Thriller,dystopia|super strength|supernatural power|time paradox|time travel,X-Men: Days of Future Past ,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer,8.0,Jennifer_Lawrence|Peter_Dinklage|Hugh_Jackman|Bryan_Singer,21
47,Action|Adventure|Sci-Fi,admiral|captain|manhunt|mission|space,Star Trek Into Darkness ,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams,7.8,Benedict_Cumberbatch|Bruce_Greenwood|Noel_Clarke|J.J._Abrams,4
48,Adventure|Fantasy,bean|giant|king|no opening credits|princess,Jack the Giant Slayer ,Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer,6.3,Eddie_Marsan|Ewen_Bremner|Ralph_Brown|Bryan_Singer,23
49,Drama|Romance,ingratitude|mansion|party|title appears in writing|tragedy,The Great Gatsby ,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann,7.3,Leonardo_DiCaprio|Elizabeth_Debicki|Steve_Bisley|Baz_Luhrmann,39
50,Action|Adventure|Fantasy|Romance,alamut|dagger|king|persia|princess,Prince of Persia: The Sands of Time ,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell,6.6,Jake_Gyllenhaal|Richard_Coyle|Reece_Ritchie|Mike_Newell,23
51,Action|Adventure|Sci-Fi,giant monster|kaiju|pilot|portal|robot,Pacific Rim ,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro,7.0,Charlie_Hunnam|Clifton_Collins_Jr.|Larry_Joe_Campbell|Guillermo_del_Toro,4
52,Action|Adventure|Sci-Fi,autobot|decepticon|job interview|moon|spacecraft,Transformers: Dark of the Moon ,Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay,6.3,Glenn_Morshower|Lester_Speight|Kevin_Dunn|Michael_Bay,4
53,Action|Adventure|Fantasy,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,Indiana Jones and the Kingdom of the Crystal Skull ,Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg,6.2,Harrison_Ford|Ray_Winstone|Jim_Broadbent|Steven_Spielberg,23
54,Adventure|Animation|Comedy|Family|Fantasy,apatosaurus|asteroid|dinosaur|fear|river,The Good Dinosaur ,A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn,6.8,A.J._Buckley|Jack_McGraw|Peter_Sohn|Peter_Sohn,20
55,Adventure|Animation|Comedy|Family|Fantasy,archery|coming of age|female warrior|princess|rebellious daughter,Brave ,Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews,7.2,Kelly_Macdonald|John_Ratzenberger|Julie_Walters|Mark_Andrews,20
56,Action|Adventure|Sci-Fi|Thriller,hatred|sequel|space opera|star trek|third part,Star Trek Beyond ,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin,7.5,Sofia_Boutella|Melissa_Roxburgh|Lydia_Wilson|Justin_Lin,21
57,Adventure|Animation|Family|Sci-Fi,earth|obesity|plant|robot|soil,WALL??E ,John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton,8.4,John_Ratzenberger|Fred_Willard|Jeff_Garlin|Andrew_Stanton,20
58,Action|Comedy|Crime|Thriller,ambassador|assassination|chinese|french|triad,Rush Hour 3 ,Tzi Ma,Dana Ivey,No??mie Lenoir,Brett Ratner,6.2,Tzi_Ma|Dana_Ivey|No??mie_Lenoir|Brett_Ratner,44
59,Action|Adventure|Sci-Fi,ark|catastrophe|geologist|president|writer,2012 ,Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich,5.8,Oliver_Platt|Liam_James|Tom_McCarthy|Roland_Emmerich,4
60,Animation|Drama|Family|Fantasy,charles dickens|christmas|christmas eve|ghost|scrooge,A Christmas Carol ,Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis,6.8,Robin_Wright|Colin_Firth|Gary_Oldman|Robert_Zemeckis,16
61,Action|Adventure|Sci-Fi,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,Jupiter Ascending ,Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski,5.4,Channing_Tatum|Mila_Kunis|Eddie_Redmayne|Lana_Wachowski,4
62,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,The Legend of Tarzan ,Christoph Waltz,Alexander Skarsg??rd,Casper Crump,David Yates,6.6,Christoph_Waltz|Alexander_Skarsg??rd|Casper_Crump|David_Yates,13
63,Adventure|Family|Fantasy,hide and seek|lion|magic|professor|snow,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson,6.9,Jim_Broadbent|Kiran_Shah|Shane_Rangi|Andrew_Adamson,7
64,Action|Adventure|Sci-Fi,mutant|superhero|superhero team|x men|year 1983,X-Men: Apocalypse ,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer,7.3,Jennifer_Lawrence|Michael_Fassbender|Tye_Sheridan|Bryan_Singer,4
65,Action|Crime|Drama|Thriller,based on comic book|dc comics|psychopath|star died before release|urban setting,The Dark Knight ,Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan,9.0,Christian_Bale|Heath_Ledger|Morgan_Freeman|Christopher_Nolan,24
66,Adventure|Animation|Comedy|Family,balloon|house|promise|retirement|skeleton,Up ,John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter,8.3,John_Ratzenberger|Delroy_Lindo|Jess_Harnell|Pete_Docter,20
67,Action|Adventure|Animation|Comedy|Family|Sci-Fi,alien|alien invasion|alien space craft|giant|giantess,Monsters vs. Aliens ,Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman,6.5,Amy_Poehler|Rainn_Wilson|Stephen_Colbert|Rob_Letterman,41
68,Action|Adventure|Sci-Fi,afghanistan|billionaire|inventor|playboy|u.s. air force,Iron Man ,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau,7.9,Robert_Downey_Jr.|Jeff_Bridges|Jon_Favreau|Jon_Favreau,27
69,Adventure|Drama|Family|Mystery,automaton|mechanical|railway station|steampunk|train,Hugo ,Chlo?? Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese,7.5,Chlo??_Grace_Moretz|Christopher_Lee|Ray_Winstone|Martin_Scorsese,13
70,Action|Comedy|Sci-Fi|Western,buddy movie|general|inventor|steampunk|utah,Wild Wild West ,Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld,4.8,Will_Smith|Salma_Hayek|Bai_Ling|Barry_Sonnenfeld,4
71,Action|Adventure|Fantasy|Horror|Thriller,army|china|emperor|mummy|shangri la,The Mummy: Tomb of the Dragon Emperor ,Jet Li,Brendan Fraser,Russell Wong,Rob Cohen,5.2,Jet_Li|Brendan_Fraser|Russell_Wong|Rob_Cohen,21
72,Action|Adventure|Comedy|Sci-Fi,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,Suicide Squad ,Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer,6.9,Will_Smith|Robin_Atkin_Downes|Ike_Barinholtz|David_Ayer,4
73,Comedy|Family|Fantasy,ark|change|congressman|depiction of god|flood,Evan Almighty ,Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac,5.4,Jimmy_Bennett|Morgan_Freeman|Steve_Carell|Tom_Shadyac,38
74,Action|Adventure|Sci-Fi,alien|combat|dying repeatedly|end of the world|time loop,Edge of Tomorrow ,Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman,7.9,Tom_Cruise|Lara_Pulver|Noah_Taylor|Doug_Liman,4
75,Action|Adventure|Sci-Fi|Thriller,future|sail|sea|smoker|water,Waterworld ,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds,6.1,Jeanne_Tripplehorn|Rick_Aviles|Zakes_Mokae|Kevin_Reynolds,21
76,Action|Adventure|Sci-Fi|Thriller,cobra|gi joe|snake|train|warhead,G.I. Joe: The Rise of Cobra ,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers,5.8,Joseph_Gordon-Levitt|Dennis_Quaid|Leo_Howard|Stephen_Sommers,40
77,Adventure|Animation|Comedy|Drama|Family|Fantasy,anger|joy|memory|running away|sadness,Inside Out ,Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter,8.3,Amy_Poehler|Mindy_Kaling|Phyllis_Smith|Pete_Docter,41
78,Adventure|Drama|Family|Fantasy,fire|jungle|remake|tiger|wolf,The Jungle Book ,Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau,7.8,Scarlett_Johansson|Bill_Murray|Garry_Shandling|Jon_Favreau,10
79,Action|Adventure|Sci-Fi,hammer|military|monaco|revenge|tony stark,Iron Man 2 ,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau,7.0,Robert_Downey_Jr.|Scarlett_Johansson|Jon_Favreau|Jon_Favreau,27
80,Action|Adventure|Drama|Fantasy,evil queen|fairy tale|magic|queen|snow white,Snow White and the Huntsman ,Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders,6.1,Chris_Hemsworth|Kristen_Stewart|Sam_Claflin|Rupert_Sanders,48
81,Action|Adventure|Family|Fantasy|Romance,curse|dark fantasy|fairy|king|kingdom,Maleficent ,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg,7.0,Angelina_Jolie_Pitt|Sharlto_Copley|Sam_Riley|Robert_Stromberg,23
82,Action|Adventure|Drama|Sci-Fi,ape|dam|leader|post apocalypse|sequel,Dawn of the Planet of the Apes ,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves,7.6,Gary_Oldman|Judy_Greer|Kodi_Smit-McPhee|Matt_Reeves,4
83,Action|Adventure|Romance|Sci-Fi,1770s|british india|great barrier reef|india|ring,The Lovers ,Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joff??,4.5,Tamsin_Egerton|Alice_Englert|Bipasha_Basu|Roland_Joff??,4
84,Action|Adventure|Drama|Fantasy,box office flop|ronin|samurai|shogun|tournament,47 Ronin ,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch,6.3,Keanu_Reeves|Cary-Hiroyuki_Tagawa|Jin_Akanishi|Carl_Rinsch,23
85,Action|Adventure|Sci-Fi,conspiracy|heroism|megalomaniac|super soldier|world domination,Captain America: The Winter Soldier ,Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo,7.8,Scarlett_Johansson|Chris_Evans|Hayley_Atwell|Anthony_Russo,4
86,Adventure|Animation|Comedy|Family|Fantasy,alternate world|fairy tale parody|female warrior|ogre|true love,Shrek Forever After ,Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell,6.4,Jon_Hamm|Kathy_Griffin|Mary_Kay_Place|Mike_Mitchell,20
87,Action|Adventure|Family|Mystery|Sci-Fi,boy genius|futuristic city|inventor|teenage girl|time travel,Tomorrowland ,Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird,6.5,Judy_Greer|Chris_Bauer|Thomas_Robinson|Brad_Bird,4
88,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,high tech|martial arts|masked man|robot|superhero,Big Hero 6 ,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall,7.9,Damon_Wayans_Jr.|Daniel_Henney|Abraham_Benrubi|Don_Hall,20
89,Adventure|Animation|Comedy|Family|Sci-Fi,arcade|candy|glitch|king|medal,Wreck-It Ralph ,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore,7.8,Jack_McBrayer|Sarah_Silverman|Joe_Lo_Truglio|Rich_Moore,20
90,Adventure|Animation|Family|Fantasy,boy|christmas|christmas eve|north pole|train,The Polar Express ,Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis,6.6,Tom_Hanks|Eddie_Deezen|Peter_Scolari|Robert_Zemeckis,32
91,Action|Adventure|Sci-Fi,alien|battle|defense|independence day|mothership,Independence Day: Resurgence ,Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich,5.5,Vivica_A._Fox|Sela_Ward|Judd_Hirsch|Roland_Emmerich,4
92,Adventure|Animation|Family|Fantasy,dragon|island|training|viking|village,How to Train Your Dragon ,Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois,8.2,Gerard_Butler|America_Ferrera|Craig_Ferguson|Dean_DeBlois,20
93,Action|Sci-Fi,drifter|exploding truck|future|machine|skynet,Terminator 3: Rise of the Machines ,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow,6.4,Nick_Stahl|M.C._Gainey|Carolyn_Hennesy|Jonathan_Mostow,4
94,Action|Adventure|Sci-Fi,bounty hunter|outer space|raccoon|talking animal|tree,Guardians of the Galaxy ,Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn,8.1,Bradley_Cooper|Vin_Diesel|Djimon_Hounsou|James_Gunn,42
95,Adventure|Drama|Sci-Fi,black hole|father daughter relationship|saving the world|space travel|wormhole,Interstellar ,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan,8.6,Matthew_McConaughey|Anne_Hathaway|Mackenzie_Foy|Christopher_Nolan,13
96,Action|Adventure|Sci-Fi|Thriller,ambiguous ending|corporate espionage|dream|subconscious|thief,Inception ,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan,8.8,Leonardo_DiCaprio|Tom_Hardy|Joseph_Gordon-Levitt|Christopher_Nolan,40
97,Action|Adventure|Drama|Horror|Sci-Fi,blood|godzilla|monster|sequel,Godzilla Resurgence ,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno,8.2,Mark_Chinnery|Shin'ya_Tsukamoto|Atsuko_Maeda|Hideaki_Anno,4
98,Adventure|Fantasy,dragon|dwarf|hobbit|orc|wizard,The Hobbit: An Unexpected Journey ,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson,7.9,Aidan_Turner|Adam_Brown|James_Nesbitt|Peter_Jackson,23
99,Action|Crime|Thriller,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,The Fast and the Furious ,Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen,6.7,Paul_Walker|Vin_Diesel|Jordana_Brewster|Rob_Cohen,8
100,Drama|Fantasy|Romance,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,The Curious Case of Benjamin Button ,Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher,7.8,Brad_Pitt|Jason_Flemyng|Julia_Ormond|David_Fincher,19
101,Action|Adventure|Sci-Fi,cia|cia agent|mutant|nuclear war|professor,X-Men: First Class ,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn,7.8,Jennifer_Lawrence|Michael_Fassbender|Oliver_Platt|Matthew_Vaughn,4
102,Adventure|Sci-Fi,death of sister|dystopia|execution|rebellion|revolution,The Hunger Games: Mockingjay - Part 2 ,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence,6.6,Jennifer_Lawrence|Philip_Seymour_Hoffman|Josh_Hutcherson|Francis_Lawrence,4
103,Action|Adventure|Family|Fantasy,chosen one|enchanted object|love|spell|training,The Sorcerer's Apprentice ,Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub,6.1,Nicolas_Cage|Omar_Benson_Miller|Robert_Capron|Jon_Turteltaub,9
104,Action|Adventure|Drama|Thriller,cruise|escape|ocean|passenger|water,Poseidon ,Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen,5.6,Jimmy_Bennett|Mike_Vogel|Andre_Braugher|Wolfgang_Petersen,21
